clan_tag,clan_name,clan_type,clan_description,clan_location,isFamilyFriendly,clan_badge_url,clan_level,clan_points,clan_builder_base_points,clan_versus_points,required_trophies,war_frequency,war_win_streak,war_wins,war_ties,war_losses,clan_war_league,num_members,required_builder_base_trophies,required_versus_trophies,required_townhall_level,clan_capital_hall_level,clan_capital_points,capital_league,mean_member_level,mean_member_trophies
#GJPJQ9YL,Idioma {PT},open,"Para TODOS os países que falam português, não importando!",International,True,https://api-assets.clashofclans.com/badges/200/kF9UTVWjWCPIvY2W2M-J6W2l0VUbZaBoExOAM4eQHtY.png,1,213,0,0,0,unknown,0,0,0,0,Unranked,1,0,0,1,0,0,Unranked,17,426
#2QCU0CGGQ,ابر قدرت 3344,open,,Albania,True,https://api-assets.clashofclans.com/badges/200/6uzLB9mhWgZJmLE4zwKg_9igVFZ-q5OHAiAX5cQRRIQ.png,1,1339,904,904,0,always,2,3,0,5,Unranked,3,0,0,4,0,0,Unranked,33,893
#2GQ9L2UGV,uchiha Obito,open,,,True,https://api-assets.clashofclans.com/badges/200/ngZULEbII7tXSLmkIVe0OpYXm3cHSpJAVpL69COFDCg.png,1,905,574,574,0,unknown,0,0,0,0,Unranked,4,0,0,1,0,0,Unranked,16,452
#2Q2RVV0PC,1533,open,cola familia,Brazil,True,https://api-assets.clashofclans.com/badges/200/oHn66KMI_drRis1lfh6jpjNPla8xfJvDG7WDuf5m2UU.png,7,19490,22957,22957,0,always,6,27,1,8,Gold League II,43,0,0,10,6,144,Unranked,112,1752
#2L28JCGQ9,R.leviathans,open,just don't be negative,American Samoa,True,https://api-assets.clashofclans.com/badges/200/BtxDBqJhIXdFzSinKMTp6WIZgmSVTTi3yIdcGT0FBw8.png,1,434,67,67,0,lessThanOncePerWeek,0,0,0,0,Unranked,2,0,0,3,0,0,Unranked,16,434
#V8CVYVP2,pengang cur war,open,siapa saja bisa gabung dan bermain bersama,Indonesia,True,https://api-assets.clashofclans.com/badges/200/QqRK9rdFY5zH5khw4jRs49nwEHtKFIWl_EzxRxNj5Sg.png,1,260,290,290,200,always,0,0,0,0,Unranked,1,0,0,1,0,0,Unranked,16,521
#2CY0G9GP,Duo,inviteOnly,players that have a life!,United States,True,https://api-assets.clashofclans.com/badges/200/tUFJpip94ft9JKVjxdVhLzjfoXinkjMcw3B4Ek0Msa4.png,11,4389,5596,5596,0,unknown,0,116,0,117,Gold League II,7,0,0,1,2,0,Unranked,88,1254
#JUUVQQCL,ali Hamza jutt,open,,International,True,https://api-assets.clashofclans.com/badges/200/QG2BIwcDk-XtuXaXSDaz9AdHHzuYLIbrS7n2e7E05aE.png,1,745,566,566,0,unknown,0,0,0,0,Unranked,7,0,0,1,0,0,Unranked,9,213
#CQUQ2YL2,klan aja,open,"kgkhusus tropi cukup 200,butuh member yg serius di war,dalam berbincang bincang dll",International,True,https://api-assets.clashofclans.com/badges/200/gMHOadybZCifnttq8LQoQbRI8cjZncsKXHWNRUe86hY.png,1,138,0,0,0,always,0,0,0,0,Unranked,1,0,0,1,0,0,Unranked,8,277
#CJLGLV9Q,24Erzincan24,inviteOnly,sadece erzincanlılar,Türkiye,True,https://api-assets.clashofclans.com/badges/200/ES2RqXKULpVXQzk1mrR7XN53hOep699PcL_6aS-6JI8.png,1,419,646,646,400,always,0,0,0,0,Unranked,1,0,0,1,0,0,Unranked,52,838
#P0UGLJ20,HA-chian,inviteOnly,社会人中心のまったりクランです(*´ω｀*)対戦は週末に１回なので無理せず続けられますよ～🐼学生さんも大歓迎です♪コツコツ強くしていきたい方募集中です！良かったら遊びに来てくださいね～✨,Japan,True,https://api-assets.clashofclans.com/badges/200/ea2d-ODUIp3HNSFAEqt4Mk5KlCl07PvvPLa_lsVMXow.png,7,3548,2278,2278,400,oncePerWeek,1,69,4,69,Unranked,5,0,0,1,0,0,Unranked,109,1419
#VGPUGGR0,S&S CLAN,open,welcome for s&s clan,,True,https://api-assets.clashofclans.com/badges/200/BIZ4D9ihzimhDQ4y8GKb0VbXvJKDiLVIJ_MyIQxDVLA.png,1,81,0,0,0,unknown,0,0,0,0,Unranked,1,0,0,1,0,0,Unranked,5,163
#8P8V990P,Oli Le Grand,open,Post tenebras lux,,True,https://api-assets.clashofclans.com/badges/200/-jG1mK5XSJBgUJ9wyuzIjwSy5lQR9OfRsmLp5LkzIGg.png,1,1750,77,77,0,unknown,0,0,0,0,Unranked,2,0,0,1,0,0,Unranked,116,1751
#2G9QQGY9G,dragón 54289898,open,dragon,,True,https://api-assets.clashofclans.com/badges/200/sjGhn78cz9uvrpnUJil23SAGGiRHR63lzEGeXF9S_aM.png,1,1836,1929,1929,0,always,0,0,0,1,Unranked,7,0,0,1,0,0,Unranked,18,525
#LUGV2UC,yPsilon,inviteOnly,"Clan War,Reclutiamo th7 maxxati-th8 ben messi-th9 somma reali min 30,Solo gente seria e abile in war,rispettare le do****oni e le promozioni verranno di conseguenza",Italy,True,https://api-assets.clashofclans.com/badges/200/QTqtfoHKYdNy6ZyLJ6ky_jYlnYuWpL2oLiv2Ytpj3EY.png,5,687,886,886,0,always,0,50,0,30,Unranked,1,0,0,1,0,0,Unranked,99,1374
#R9YYLQUC,Claneros ALV,open,1.SER ACTIVO.2.DONAR COSAS SHIDORIS.3.JUGAR MAINCRA (ok no).PASARSELA SHIDORIS.4.NO INSULTAR NI PELEARSE (el que inicie la pelea sera degradado o expulsado.5.PARA VETERANO 20 donaciones y para colider 300 si se decide,International,True,https://api-assets.clashofclans.com/badges/200/HLfScCux49c1BnVxGc8iaG3okoHzla-tmqaL1MUa78I.png,1,2823,3129,3129,0,unknown,0,0,0,4,Unranked,7,0,0,1,0,0,Unranked,37,806
